dt,platform,nivel,id,nome,impressoes,clicks,spend,conv,revenue,reach
2026-09-18,google,campaign,G-301,GOOG-PMAX-WHITE-PRODUTO-2609,30000,630,180.0,18,2646,14285
2026-09-18,google,campaign,G-302,GOOG-SEARCH-BRAND-2609,9000,279,37.8,13,1911,5000
2026-09-19,google,campaign,G-301,GOOG-PMAX-WHITE-PRODUTO-2609,30000,600,180.0,18,2646,14285
2026-09-19,google,campaign,G-302,GOOG-SEARCH-BRAND-2609,9000,279,37.8,13,1911,5000
2026-09-20,google,campaign,G-301,GOOG-PMAX-WHITE-PRODUTO-2609,30000,570,180.0,17,2499,14285
2026-09-20,google,campaign,G-302,GOOG-SEARCH-BRAND-2609,9000,279,37.8,13,1911,5000
2026-09-21,google,campaign,G-301,GOOG-PMAX-WHITE-PRODUTO-2609,30000,540,180.0,16,2352,14285
2026-09-21,google,campaign,G-302,GOOG-SEARCH-BRAND-2609,9000,279,37.8,13,1911,5000
2026-09-22,google,campaign,G-301,GOOG-PMAX-WHITE-PRODUTO-2609,30000,510,180.0,15,2205,14285
2026-09-22,google,campaign,G-302,GOOG-SEARCH-BRAND-2609,9000,279,37.8,13,1911,5000
2026-09-23,google,campaign,G-301,GOOG-PMAX-WHITE-PRODUTO-2609,30000,480,180.0,14,2058,14285
2026-09-23,google,campaign,G-302,GOOG-SEARCH-BRAND-2609,9000,279,37.8,13,1911,5000
