dt,platform,nivel,id,nome,impressoes,clicks,spend,conv,revenue,reach
2026-09-18,meta,campaign,CAM-201,COLD-BLACK-MEC-2609,32250,500,632.5,12,1164,9485
2026-09-18,meta,ad,AD-2011,CR-089-angA-hook1,25000,400,550.0,11,1067,8064
2026-09-18,meta,campaign,CAM-202,WARM-BLACK-PROVA-2609,18000,360,324.0,16,1552,7500
2026-09-18,meta,ad,AD-2031,CR-094-angC-hook1,15000,165,360.0,3,291,6818
2026-09-19,meta,campaign,CAM-201,COLD-BLACK-MEC-2609,32250,475,632.5,11,1067,9485
2026-09-19,meta,ad,AD-2011,CR-089-angA-hook1,25000,375,550.0,10,970,8064
2026-09-19,meta,campaign,CAM-202,WARM-BLACK-PROVA-2609,18000,378,324.0,17,1649,7500
2026-09-19,meta,ad,AD-2031,CR-094-angC-hook1,15800,189,379.2,3,291,7181
2026-09-20,meta,campaign,CAM-201,COLD-BLACK-MEC-2609,32250,425,632.5,10,970,9485
2026-09-20,meta,ad,AD-2011,CR-089-angA-hook1,25000,325,550.0,9,873,8064
2026-09-20,meta,campaign,CAM-202,WARM-BLACK-PROVA-2609,18000,360,324.0,16,1552,7500
2026-09-20,meta,ad,AD-2031,CR-094-angC-hook1,16600,215,398.4,4,388,7545
2026-09-21,meta,campaign,CAM-201,COLD-BLACK-MEC-2609,32250,375,632.5,8,776,9485
2026-09-21,meta,ad,AD-2011,CR-089-angA-hook1,25000,275,550.0,7,679,8064
2026-09-21,meta,campaign,CAM-202,WARM-BLACK-PROVA-2609,18000,342,324.0,15,1455,7500
2026-09-21,meta,ad,AD-2031,CR-094-angC-hook1,17400,243,417.6,4,388,7909
2026-09-22,meta,campaign,CAM-201,COLD-BLACK-MEC-2609,32250,324,632.5,7,679,9485
2026-09-22,meta,ad,AD-2011,CR-089-angA-hook1,25000,224,550.0,6,582,8064
2026-09-22,meta,campaign,CAM-202,WARM-BLACK-PROVA-2609,18000,360,324.0,16,1552,7500
2026-09-22,meta,ad,AD-2031,CR-094-angC-hook1,18200,273,436.8,5,485,8272
2026-09-23,meta,campaign,CAM-201,COLD-BLACK-MEC-2609,32250,300,632.5,6,582,9485
2026-09-23,meta,ad,AD-2011,CR-089-angA-hook1,25000,200,550.0,5,485,8064
2026-09-23,meta,campaign,CAM-202,WARM-BLACK-PROVA-2609,18000,342,324.0,15,1455,7500
2026-09-23,meta,ad,AD-2031,CR-094-angC-hook1,19000,304,456.0,6,582,8636
